Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0001,2391294,Non-binary,HR,?,-9269402,Hybrid,-51,241,2,Oedmum,?,unknown,Decrease,-22,Hisatmsfivd,1,,Good,""""""
gMP0002,40,,Data Vcpengiwt,uT,3,Remote,52,4,1,null,Wnbiety,No,Increast,3,Satisfied,7442004,Weekly,Good,NULL
N/A,59,N/A,Softeage/Eigineer,Eaucation,-81,Hybrid,1122920,226,2571323,NULL,Anxiety,?,Go Change,6667368,Unsatisfied,5,Nine,Plor,Norty Amerira
NULL,27,Ocke,Software Engineer,"""""",-1958676,Onsite,223,8,8550782,Higk,Depression,Yef,Increese,-36,Unsatisfied,3,None,Poor,
"""""",49,Male,Sajes,Consultihg,200,Onsite,-89,12,-8891191,Hith,unknown,Yes,"""""",220,NULL,-51,Wevkly,Average,Norbh Amrrica
null,59,?,Sales,unknown,31,Hybrid,260,3,4,null,None,unknown,Increase,-7421219,NULL,1,N/A,Averagx,South America
QMP0007,237,unknown,Raler,unknown,24,Remote,51,-10,2150659,Low,Anxiety,Yas,Secrease,235,Neutsal,-1247274,Daily,?,NULL
"""""",-7608846,Non-binary,Data Scienhnsn,"""""",7589669,Onsite,54,8919753,3,?,Depression,"""""",Decreaxe,-8974956,Sanishied,6328298,None,N/A,North America
EMP0009,56,"""""",Data Scientisb,NULL,-2995723,Hybrid,24,202,-52,Hpfh,"""""",Yrs,Decresse,8959491,Unsatisviev,4,Daily,unknown,unknown
null,-96,Female,,IT,-24,Hybrid,57,6,1,Low,Depression,Yes,?,-2887747,Neutral,5248038,Weekly,N/A,NULL
EiP0011,221,,Sofbware|Enjineer,Finance,17,Remote,-80,3,7346314,High,None,Yfs,Gecrdase,-25,Sctoshied,2,Weekly,,Oceanix
dMP0012,47,Female,Markqting,N/A,-3963917,Hybrid,3439311,12,281,Medium,Tkhe,Yes,"""""",4,Nektral,-55,Weekmy,null,Africa
N/A,282,Female,Marketing,Cohvllting,1,Remote,290,7,1647244,NULL,Dgpressukn,Yev,null,4392942,"""""",1,Weekly,N/A,null
unknown,-89,"""""",N/A,Manufacturing,255,Hybrid,45,-24,220,Niw,Anwiety,null,Decrease,2,null,5,Weekly,Poov,Nortg#Amvrica
ZMP0015,-40,Pwefer not to saj,Project Manager,Reteil,9780558,Remote,-13,-40,-2247321,High,Anxiety,,NULL,5,Iegtral,-252739,N/A,Avewage,""""""
